id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,4596.9,16438373190,15,16438373190,76356182,4770.38,4580.36,-94.50012250270538,-2.01433,-321039096.69070435,-1.91557,3575727.858196986,3575727.858196986,,7256.02,-36.65171,2022-05-13T15:09:54.509Z,558.54,722.96059,2022-05-13T01:36:45.053Z,,2024-12-09T10:25:23.531Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,25.24,15848567809,16,25282872353,3395744748,27.26,25.01,-0.315690176488733,-1.2351,-170402005.5515728,-1.06375,626849971.3083414,1000000000.0,1000000000.0,52.7,-51.93978,2021-05-10T00:13:57.214Z,0.148183,16991.07426,2017-11-29T00:00:00.000Z,,2024-12-09T10:25:26.320Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,9.57,14575898393,17,14575898393,958264892,10.54,9.47,-0.7526643344150141,-7.28841,-1120011227.841177,-7.13569,1522267060.0,1522267060.0,,54.98,-82.57755,2021-11-04T14:10:09.301Z,2.7,255.11328,2020-08-20T05:48:11.359Z,,2024-12-09T10:25:27.920Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.454763,13716986701,18,22744248814,707552229,0.495948,0.448333,-0.025497774110866123,-5.30915,-776360281.4922714,-5.35667,30155924325.5203,50001786911.16292,50001786911.16292,0.875563,-47.8713,2018-01-03T00:00:00.000Z,0.00047612,95761.61536,2015-03-05T00:00:00.000Z,,2024-12-09T10:25:31.215Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,98031.0,13385685596,19,13385685596,390102824,100936.0,98097.0,-1041.5547556841775,-1.0513,-141163737.77211,-1.04358,136473.60508145,136473.60508145,136473.60508145,103421.0,-5.12484,2024-12-05T04:05:27.387Z,3139.17,3025.67933,2019-04-02T00:00:00.000Z,,2024-12-09T10:25:33.294Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,602.2,11930180930,20,12653467904,754821176,624.79,596.9,-7.6154468734282545,-1.24881,-149906497.7829399,-1.24094,19799615.52165078,21000000.0,21000000.0,3785.82,-84.05027,2017-12-20T00:00:00.000Z,76.93,684.85666,2018-12-16T00:00:00.000Z,,2024-12-09T10:25:31.762Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.311068,11896237372,21,15559481404,1246460013,0.33446,0.305331,-0.016955433092008254,-5.16897,-656084688.0588875,-5.2268,38228257945.34949,50000000000.0,50000000000.0,0.569229,-45.07224,2021-09-15T10:40:28.318Z,0.00986111,3070.68454,2020-01-02T17:30:24.852Z,,2024-12-09T10:25:25.375Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,3.99,11676935676,22,39884875982,1575487507,4.26,3.97,-0.1746446583173542,-4.19613,-519563481.99399185,-4.25994,2927660018.558888,10000000000.0,10000000000.0,4.46,-10.56162,2024-12-06T08:10:45.403Z,0.364846,993.31381,2023-10-19T10:40:30.078Z,,2024-12-09T10:25:31.909Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3876.57,10601093102,23,10601093102,1088634833,4014.03,3861.18,-75.33229237545311,-1.90623,-165496501.17471313,-1.53713,2733783.329739307,2733783.329739307,,4799.89,-19.12647,2021-11-09T00:00:00.000Z,82.1,4627.99222,2018-12-15T00:00:00.000Z,,2024-12-09T10:25:24.396Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,2.491e-05,10507197627,24,10507197627,8196816453,2.716e-05,2.461e-05,2.98577e-07,1.21316,153304249.0,1.48064,420690000000000.0,420690000000000.0,420690000000000.0,2.716e-05,-8.04236,2024-12-09T01:22:07.669Z,5.5142e-08,45193.84242,2023-04-18T02:14:41.591Z,,2024-12-09T10:25:27.528Z
